device_id,attribution_time,channel,campaign_id,attribution_cost
20240322_qr3sw7ij6c,2024-03-22 19:24:31,youtube,Promocode_target11,5
20240410_iwlcix9r9e,2024-04-10 13:33:27,youtube,referral_target,6
20240315_e93j8e7ng1,2024-03-15 12:22:49,tiktok_ads,Campaign_pre34,2
20240309_gefzzo045w,2024-03-09 03:59:29,youtube,Shorts_v3,6
20240111_wz5p2deszo,2024-01-11 03:31:56,youtube,Promocode_top,5
20240121_6abmz1zupm,2024-01-21 06:40:29,tiktok_ads,Campaign_pre34,2
20240411_n9qndj1bg1,2024-04-11 20:14:49,youtube,Shorts_v3,6
20240401_oaq5p9hfb9,2024-04-01 01:12:48,tiktok_ads,Campaign_eeR_v2,5
20240229_02vtwraz7i,2024-02-29 16:07:50,adMob,target_apps1212,4
20240202_ljwu43zspv,2024-02-02 21:15:22,tiktok_ads,Campaign_eeR_v2,3
20240131_7mrmyx9r7b,2024-01-31 16:45:02,adMob,pop_Games,4
20240113_vgcfewkw1y,2024-01-13 14:45:48,tiktok_ads,Campaign_KAW23,2
20240131_ucmokt04qg,2024-01-31 16:34:10,tiktok_ads,Campaign_pre34,2
20240211_hdtwdibmtg,2024-02-11 18:18:17,youtube,Promocode_top,4
20240118_1aes6si4zc,2024-01-18 07:59:05,tiktok_ads,Campaign_KAW23,2
20240106_xik2fgkrky,2024-01-06 18:11:54,youtube,Promocode_top,4
20240212_qidg9nv2mc,2024-02-12 08:56:44,adMob,Small_games24,2
20240127_pd1y541mdn,2024-01-27 11:14:11,tiktok_ads,Campaign_eeR_v2,3
20240119_i1shq1da2c,2024-01-19 21:06:33,tiktok_ads,Campaign_LSR14,2
20240325_mc4xiv5u0r,2024-03-25 11:21:33,youtube,referral_target,10
20240421_hfh8r8f8jd,2024-04-21 18:18:55,tiktok_ads,Campaign_eeR_v2,5
20240114_cwl3kf5jwk,2024-01-14 01:49:30,adMob,pop_Games,3
20240208_nu0vvna92c,2024-02-08 08:30:17,adMob,Small_games24,1
20240112_wtg21kbcfd,2024-01-12 15:00:32,adMob,Small_games24,1
20240324_gfcynoicqv,2024-03-24 20:06:41,youtube,referral_target,7
20240216_xrmdocx30y,2024-02-16 01:02:03,tiktok_ads,Campaign_KAW23,2
20240120_viwwiox1mz,2024-01-20 16:19:52,tiktok_ads,Campaign_eeR_v2,3
20240114_eh8argyd4j,2024-01-14 17:44:12,appLovin,Campaign_1221,8
20240422_it2fzh8f29,2024-04-22 16:21:30,tiktok_ads,Campaign_pre34,4
20240117_po4qvkv0mq,2024-01-17 22:27:39,tiktok_ads,Campaign_eeR_v2,5
20240109_pjcbo0n2b1,2024-01-09 04:40:48,tiktok_ads,Campaign_eeR_v2,4
20240412_8wwzwzc89b,2024-04-12 19:45:53,youtube,Shorts_v3,4
20240408_3bw85p6lh7,2024-04-08 02:40:15,adMob,pop_Games,5
