user_id,transaction_time,transaction_id,total_value
y6m5uu4kn197cvxe,2024-01-24 22:22:59,y6m5uu4kn197cvxe_1,9.99
y6m5uu4kn197cvxe,2024-01-26 22:22:59,y6m5uu4kn197cvxe_2,49.99
y6m5uu4kn197cvxe,2024-01-22 22:22:59,y6m5uu4kn197cvxe_3,49.99
y6m5uu4kn197cvxe,2024-02-10 22:22:59,y6m5uu4kn197cvxe_4,14.99
y6m5uu4kn197cvxe,2024-02-06 22:22:59,y6m5uu4kn197cvxe_5,9.99
y6m5uu4kn197cvxe,2024-02-01 22:22:59,y6m5uu4kn197cvxe_6,99.99
y6m5uu4kn197cvxe,2024-01-25 22:22:59,y6m5uu4kn197cvxe_7,49.99
y6m5uu4kn197cvxe,2024-01-11 22:22:59,y6m5uu4kn197cvxe_8,14.99
uxikrgbyr3p827fv,2024-03-17 04:51:48,uxikrgbyr3p827fv_9,14.99
5rniheantivl3smf,2024-05-22 19:07:21,5rniheantivl3smf_10,4.99
aibka8c08s90ofuc,2024-02-06 04:40:05,aibka8c08s90ofuc_11,14.99
aibka8c08s90ofuc,2024-02-12 04:40:05,aibka8c08s90ofuc_12,49.99
aibka8c08s90ofuc,2024-02-05 04:40:05,aibka8c08s90ofuc_13,9.99
aibka8c08s90ofuc,2024-01-25 04:40:05,aibka8c08s90ofuc_14,14.99
aibka8c08s90ofuc,2024-01-15 04:40:05,aibka8c08s90ofuc_15,49.99
aibka8c08s90ofuc,2024-01-16 04:40:05,aibka8c08s90ofuc_16,99.99
aibka8c08s90ofuc,2024-01-30 04:40:05,aibka8c08s90ofuc_17,49.99
kbpvp2dkwquls6ph,2024-02-23 06:34:51,kbpvp2dkwquls6ph_18,9.99
l5t64xmxaq1lzmk6,2024-04-02 22:17:55,l5t64xmxaq1lzmk6_19,49.99
0ef56lb0d3vhik2h,2024-02-20 07:42:23,0ef56lb0d3vhik2h_20,49.99
0ef56lb0d3vhik2h,2024-02-28 07:42:23,0ef56lb0d3vhik2h_21,4.99
0ef56lb0d3vhik2h,2024-02-22 07:42:23,0ef56lb0d3vhik2h_22,4.99
0ef56lb0d3vhik2h,2024-02-24 07:42:23,0ef56lb0d3vhik2h_23,4.99
0ef56lb0d3vhik2h,2024-02-13 07:42:23,0ef56lb0d3vhik2h_24,14.99
0ef56lb0d3vhik2h,2024-02-13 07:42:23,0ef56lb0d3vhik2h_25,9.99
0ef56lb0d3vhik2h,2024-02-20 07:42:23,0ef56lb0d3vhik2h_26,49.99
0ef56lb0d3vhik2h,2024-02-04 07:42:23,0ef56lb0d3vhik2h_27,99.99
xprw6fj5j16xqghr,2024-05-12 23:31:37,xprw6fj5j16xqghr_28,99.99
xprw6fj5j16xqghr,2024-04-29 23:31:37,xprw6fj5j16xqghr_29,99.99
xprw6fj5j16xqghr,2024-05-20 23:31:37,xprw6fj5j16xqghr_30,14.99
xprw6fj5j16xqghr,2024-04-24 23:31:37,xprw6fj5j16xqghr_31,14.99
xprw6fj5j16xqghr,2024-04-26 23:31:37,xprw6fj5j16xqghr_32,14.99
0uzyt4hgkgp9xy1x,2024-01-22 01:41:28,0uzyt4hgkgp9xy1x_33,9.99
0uzyt4hgkgp9xy1x,2024-01-27 01:41:28,0uzyt4hgkgp9xy1x_34,14.99
0uzyt4hgkgp9xy1x,2024-01-09 01:41:28,0uzyt4hgkgp9xy1x_35,4.99
0uzyt4hgkgp9xy1x,2024-01-15 01:41:28,0uzyt4hgkgp9xy1x_36,14.99
0uzyt4hgkgp9xy1x,2024-01-06 01:41:28,0uzyt4hgkgp9xy1x_37,49.99
0uzyt4hgkgp9xy1x,2024-01-10 01:41:28,0uzyt4hgkgp9xy1x_38,49.99
ti9z7mj0nsnzmo30,2024-04-26 21:43:26,ti9z7mj0nsnzmo30_39,14.99
ti9z7mj0nsnzmo30,2024-05-13 21:43:26,ti9z7mj0nsnzmo30_40,49.99
ti9z7mj0nsnzmo30,2024-04-22 21:43:26,ti9z7mj0nsnzmo30_41,4.99
ti9z7mj0nsnzmo30,2024-05-08 21:43:26,ti9z7mj0nsnzmo30_42,99.99
ti9z7mj0nsnzmo30,2024-04-23 21:43:26,ti9z7mj0nsnzmo30_43,99.99
ti9z7mj0nsnzmo30,2024-05-11 21:43:26,ti9z7mj0nsnzmo30_44,4.99
ti9z7mj0nsnzmo30,2024-04-18 21:43:26,ti9z7mj0nsnzmo30_45,49.99
ti9z7mj0nsnzmo30,2024-04-24 21:43:26,ti9z7mj0nsnzmo30_46,4.99
ck05bhx3ipgfg3w8,2024-05-07 21:26:52,ck05bhx3ipgfg3w8_47,99.99
ck05bhx3ipgfg3w8,2024-04-23 21:26:52,ck05bhx3ipgfg3w8_48,4.99
ck05bhx3ipgfg3w8,2024-05-10 21:26:52,ck05bhx3ipgfg3w8_49,99.99
ck05bhx3ipgfg3w8,2024-04-15 21:26:52,ck05bhx3ipgfg3w8_50,9.99
v328z9vzkfrs3yyz,2024-05-09 10:53:47,v328z9vzkfrs3yyz_51,4.99
v328z9vzkfrs3yyz,2024-04-28 10:53:47,v328z9vzkfrs3yyz_52,49.99
v328z9vzkfrs3yyz,2024-04-19 10:53:47,v328z9vzkfrs3yyz_53,14.99
kplfb9zla1iuvuvs,2024-02-28 00:16:49,kplfb9zla1iuvuvs_54,9.99
kplfb9zla1iuvuvs,2024-02-09 00:16:49,kplfb9zla1iuvuvs_55,99.99
kplfb9zla1iuvuvs,2024-03-05 00:16:49,kplfb9zla1iuvuvs_56,14.99
kplfb9zla1iuvuvs,2024-02-20 00:16:49,kplfb9zla1iuvuvs_57,99.99
kplfb9zla1iuvuvs,2024-02-26 00:16:49,kplfb9zla1iuvuvs_58,4.99
kplfb9zla1iuvuvs,2024-03-10 00:16:49,kplfb9zla1iuvuvs_59,4.99
wl1mcesfj2311nnu,2024-04-13 03:43:38,wl1mcesfj2311nnu_60,14.99
ed4i9v8zlm99kx6z,2024-05-02 08:31:48,ed4i9v8zlm99kx6z_61,4.99
ed4i9v8zlm99kx6z,2024-05-02 08:31:48,ed4i9v8zlm99kx6z_62,4.99
ed4i9v8zlm99kx6z,2024-04-26 08:31:48,ed4i9v8zlm99kx6z_63,9.99
ed4i9v8zlm99kx6z,2024-04-23 08:31:48,ed4i9v8zlm99kx6z_64,49.99
ed4i9v8zlm99kx6z,2024-04-20 08:31:48,ed4i9v8zlm99kx6z_65,49.99
ed4i9v8zlm99kx6z,2024-04-21 08:31:48,ed4i9v8zlm99kx6z_66,99.99
ed4i9v8zlm99kx6z,2024-04-29 08:31:48,ed4i9v8zlm99kx6z_67,49.99
ed4i9v8zlm99kx6z,2024-05-07 08:31:48,ed4i9v8zlm99kx6z_68,4.99
ed4i9v8zlm99kx6z,2024-04-26 08:31:48,ed4i9v8zlm99kx6z_69,4.99
axdqeg96qac8qkew,2024-05-13 03:50:17,axdqeg96qac8qkew_70,14.99
upemzs243mgcy0pb,2024-04-09 12:51:36,upemzs243mgcy0pb_71,9.99
upemzs243mgcy0pb,2024-03-29 12:51:36,upemzs243mgcy0pb_72,49.99
7sjspjkzyqait005,2024-04-30 13:21:04,7sjspjkzyqait005_73,9.99
7sjspjkzyqait005,2024-04-22 13:21:04,7sjspjkzyqait005_74,9.99
7sjspjkzyqait005,2024-04-21 13:21:04,7sjspjkzyqait005_75,49.99
7sjspjkzyqait005,2024-05-02 13:21:04,7sjspjkzyqait005_76,14.99
7sjspjkzyqait005,2024-05-03 13:21:04,7sjspjkzyqait005_77,4.99
7sjspjkzyqait005,2024-05-12 13:21:04,7sjspjkzyqait005_78,9.99
7sjspjkzyqait005,2024-05-12 13:21:04,7sjspjkzyqait005_79,9.99
7sjspjkzyqait005,2024-05-09 13:21:04,7sjspjkzyqait005_80,49.99
7sjspjkzyqait005,2024-05-01 13:21:04,7sjspjkzyqait005_81,49.99
8kvn5l413lr4osox,2024-02-18 03:27:01,8kvn5l413lr4osox_82,49.99
